say sorry
go up
go down
set up
look at
blow up
find out
bring about
put off
rack up
make up
stand for
find out
leave out
point out
go against
get in touch with
it’s about
need to
think about
get
put up
deal with
seem
show
start
free
get on someone’s nerves
ring up
show up
fill in
block
give the go ahead
Anyways
Plus
Also
But
So
Also
ASAP
Okay
OK
In the meantime
I think
In the end
To sum up
In a nutshell
Basically
Anyway
All right
Well	
To top it all off
On top of it all
lots of
a lot of
tons of
heaps of
totally
really
ASAP
T.V.
kids
bad
good
really big
right
wrong
smart
cheap
loaded
!
